City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,hermanus,-34.4187,19.2345,56.8,73,28,16.62,ZA,1712874765
193,murzuq,25.9155,13.9184,72.9,14,5,20.78,LY,1712874766
194,nuriootpa,-34.4833,139.0,56.55,71,0,3.85,AU,1712874768
195,tolanaro,-25.0319,46.9987,73.47,88,40,4.61,MG,1712874248
196,moranbah,-22.0016,148.0466,70.86,57,1,12.95,AU,1712874769
197,baglung,28.2719,83.5898,59.63,27,1,7.65,NP,1712874770
198,al mindak,20.1588,41.2834,64.0,76,29,2.66,SA,1712874771
199,accra,5.556,-0.1969,84.61,79,0,6.91,GH,1712874497
200,chippewa falls,44.9369,-91.3929,61.99,47,100,8.05,US,1712874772
201,minas de marcona,-15.2119,-75.1103,66.72,70,3,15.57,PE,1712874504
202,hamilton,39.1834,-84.5333,65.03,91,75,21.85,US,1712874485
203,aykhal,66.0,111.5,-21.59,100,100,6.02,RU,1712874485
204,coahuayana de hidalgo,18.7,-103.6583,85.05,49,2,6.62,MX,1712874198
205,mili,6.0815,171.735,81.64,83,100,17.16,MH,1712874777
206,baihe,22.15,107.2333,74.53,89,100,1.99,CN,1712874777
207,lihue,21.9789,-159.3672,79.84,80,100,4.61,US,1712874778
208,nova vicosa,-17.8919,-39.3719,79.43,81,0,7.14,BR,1712874505
209,freetown,8.484,-13.2299,82.11,74,24,12.66,SL,1712874780
210,ugoofaaru,5.6667,73.0,84.36,73,79,4.61,MV,1712874780
211,touros,-5.1989,-35.4608,80.76,81,99,7.25,BR,1712874541
212,leca da palmeira,41.191,-8.7003,64.4,72,0,2.3,PT,1712874782
213,diamantino,-14.4086,-56.4461,73.2,96,85,2.42,BR,1712874784
214,severoural'sk,60.1533,59.952,38.98,74,79,6.02,RU,1712874785
215,gadzhiyevo,69.2551,33.3362,31.23,91,100,25.26,RU,1712874786
216,barra de santo antonio,-9.4047,-35.5072,81.68,79,40,8.48,BR,1712874787
217,la'ie,21.6477,-157.9253,80.56,79,100,8.01,US,1712874788
218,soe,-9.8607,124.284,67.75,89,84,1.9,ID,1712874789
219,tazovsky,67.4667,78.7,-8.57,95,53,13.91,RU,1712874494
220,tena,-0.9833,-77.8167,73.56,97,91,1.83,EC,1712874790
221,balqash,46.8481,74.995,37.89,60,60,16.46,KZ,1712874791
222,terrace,54.5163,-128.6035,44.51,70,75,8.05,CA,1712874792
223,neiafu,-18.65,-173.9833,83.08,78,40,8.05,TO,1712874792
224,uvarovo,51.9849,42.2615,60.91,72,100,7.34,RU,1712874793
225,zhanaozen,43.3,52.8,52.56,65,1,18.01,KZ,1712874717
226,tannum sands,-23.9504,151.3693,69.69,73,75,8.05,AU,1712874795
227,mohacs,45.9931,18.6831,61.03,77,83,5.95,HU,1712874795
228,mezhdurechensk,53.6942,88.0603,26.65,96,100,7.11,RU,1712874796
229,maslyanino,54.3436,84.2111,23.9,79,95,9.28,RU,1712874736
230,st. john's,47.5649,-52.7093,39.67,76,0,11.5,CA,1712874218
231,broome,42.2506,-75.833,64.71,81,100,18.41,US,1712874798
232,drayton valley,53.2168,-114.9854,50.22,42,100,14.41,CA,1712874799
233,wyomissing,40.3295,-75.9652,67.1,81,100,14.0,US,1712874800
234,kristiansund,63.1115,7.732,48.85,76,100,21.85,NO,1712874801
235,tilcara,-23.5776,-65.3509,45.86,100,100,5.46,AR,1712874801
236,embi,48.8264,58.1442,44.31,71,50,5.01,KZ,1712874802
237,reggane,26.7158,0.1714,78.06,17,0,16.71,DZ,1712874550
238,urcos,-13.6861,-71.6228,60.69,89,98,6.64,PE,1712874804
239,kailua-kona,19.6406,-155.9956,82.27,73,100,5.75,US,1712874804
240,cova figueira,14.8905,-24.2934,63.27,71,0,7.07,CV,1712874805
241,powell,40.1578,-83.0752,64.85,94,100,4.61,US,1712874806
242,notodden,59.5594,9.2585,47.21,85,58,2.46,NO,1712874807
243,la passe,45.5549,-0.8967,56.01,93,40,7.29,FR,1712874534
244,sovetskaya,44.7769,41.1722,52.95,75,87,8.01,RU,1712874808
245,sitka,57.0531,-135.33,44.49,65,20,14.97,US,1712874688
246,amalapuram,16.5833,82.0167,75.83,87,11,2.35,IN,1712874810
247,khandyga,62.6667,135.6,25.9,88,99,7.74,RU,1712874637
248,vanimo,-2.6741,141.3028,80.69,87,86,1.54,PG,1712874811
249,nuku'alofa,-21.1333,-175.2,84.54,79,40,6.91,TO,1712874812
250,wanning,18.8003,110.3967,75.67,93,28,3.24,CN,1712874724
251,lander,42.833,-108.7307,63.41,17,0,6.91,US,1712874675
252,antalaha,-14.9003,50.2788,76.6,93,29,3.38,MG,1712874815
253,luganville,-15.5333,167.1667,85.01,72,20,4.34,VU,1712874815
254,kangding,30.0513,101.9603,46.94,65,74,4.76,CN,1712874816
255,moca,19.5,-70.5,80.65,62,20,6.91,DO,1712874817
256,st. paul,44.9444,-93.0933,61.48,50,100,18.41,US,1712874794
257,dakhla,23.6848,-15.958,68.49,74,0,12.84,EH,1712874819
258,shenjiamen,29.9576,122.298,57.22,99,100,11.63,CN,1712874538
259,sicuani,-14.2694,-71.2261,54.66,70,73,4.76,PE,1712874820
260,dogansehir,38.0919,37.8789,49.26,78,67,3.62,TR,1712874821
261,luchegorsk,46.4764,134.2569,50.52,73,7,5.99,RU,1712874822
262,inebolu,41.9747,33.7608,55.47,81,21,4.41,TR,1712874822
263,salahonda,2.1019,-78.7217,81.59,76,52,9.37,CO,1712874823
264,dul'durga,50.6761,113.5931,38.39,58,37,2.77,RU,1712874824
265,manismata,-2.4667,111.0333,74.57,98,66,1.25,ID,1712874825
266,trevelin,-43.0858,-71.4639,46.72,69,92,2.48,AR,1712874826
267,tinajo,29.0788,-13.7081,79.68,26,0,11.5,ES,1712874826
268,itamaraca,-7.7478,-34.8256,86.05,80,52,7.43,BR,1712874528
269,altamont,42.2068,-121.7372,70.77,30,0,11.5,US,1712874828
270,wasaga beach,44.5168,-80.0164,57.79,97,100,7.85,CA,1712874829
271,mount gambier,-37.8333,140.7667,54.97,66,100,3.29,AU,1712874540
272,puerto baquerizo moreno,-0.9,-89.6,81.59,78,40,12.66,EC,1712874542
273,walvis bay,-22.9575,14.5053,62.26,82,5,6.33,NA,1712874831
274,rio grande,-32.035,-52.0986,68.11,61,100,15.14,BR,1712874574
275,jinghong,21.991,100.7341,69.37,42,23,2.57,CN,1712874833
276,chui,-33.6971,-53.4616,63.88,56,98,8.1,UY,1712874834
277,vilyuchinsk,52.9306,158.4028,37.67,80,6,7.43,RU,1712874834
278,polva,58.0603,27.0694,47.01,88,100,16.02,EE,1712874835
279,sao vicente,-23.9631,-46.3919,78.98,70,100,1.14,BR,1712874642
280,mata-utu,-13.2816,-176.1745,85.39,75,34,11.36,WF,1712874578
281,prince rupert,54.3161,-130.3201,44.69,70,100,5.75,CA,1712874837
282,pader palwo,2.8006,33.135,70.34,77,46,4.92,UG,1712874838
283,xiongzhou,25.1167,114.3,73.08,94,95,2.98,CN,1712874839
284,polyarnyy,69.1989,33.4478,31.98,93,100,24.81,RU,1712874573
285,fisterra,42.9049,-9.2629,58.75,72,100,5.1,ES,1712874841
286,port macquarie,-31.4333,152.9167,66.88,68,1,6.67,AU,1712874662
287,talnakh,69.4865,88.3972,-14.8,97,95,8.75,RU,1712874797
288,strzelce opolskie,50.5107,18.3006,51.4,66,20,3.85,PL,1712874844
289,nguruka,-5.1092,31.0419,64.56,96,69,1.19,TZ,1712874845
290,oguzeli,36.9657,37.5134,55.38,88,0,1.14,TR,1712874846
291,road town,18.4167,-64.6167,80.64,74,40,17.27,VG,1712874846
292,coria,39.9879,-6.5377,59.56,80,68,4.52,ES,1712874847
293,pimentel,-6.8367,-79.9342,79.09,65,0,27.63,PE,1712874848
294,ancud,-41.8697,-73.8203,51.03,74,0,4.07,CL,1712874765
295,altai,46.3722,96.2583,32.4,62,40,13.31,MN,1712874850
296,sisimiut,66.9395,-53.6735,22.51,90,96,3.04,GL,1712874674
297,punta arenas,-53.15,-70.9167,48.31,61,0,32.21,CL,1712874852
298,znamenskoye,57.1281,73.8282,22.95,81,49,7.29,RU,1712874853
299,okha,53.5739,142.9478,29.25,96,75,8.99,RU,1712874568
300,roma,43.2128,-75.4557,64.81,79,75,13.8,US,1712874731
301,cill airne,52.05,-9.5167,52.72,98,100,5.12,IE,1712874855
302,igrim,63.1906,64.4162,34.83,98,100,11.18,RU,1712874856
303,chernyshkovskiy,48.4219,42.2308,62.11,62,1,8.37,RU,1712874857
304,kirkland lake,48.1446,-80.0377,55.69,47,100,4.61,CA,1712874858
305,vorgashor,67.5833,63.95,14.81,87,100,22.03,RU,1712874711
306,luderitz,-26.6481,15.1594,71.53,46,0,4.68,NA,1712874798
307,bahia de caraquez,-0.6,-80.4167,86.18,78,53,6.04,EC,1712874860
308,escarcega,18.6089,-90.7454,80.71,46,52,10.69,MX,1712874838
309,isangel,-19.55,169.2667,80.71,94,75,2.3,VU,1712874862
310,abepura,-2.6333,140.5833,76.01,100,20,2.3,ID,1712874862
311,san antonio suchitepequez,14.5333,-91.4167,94.95,57,88,7.27,GT,1712874863
312,lata,40.1629,-8.3327,63.07,83,97,3.04,PT,1712874864
313,daga,27.0753,89.8769,51.39,71,86,6.62,BT,1712874865
314,hirara,24.8,125.2833,71.87,94,89,4.61,JP,1712874865
315,dunedin,-45.8742,170.5036,47.8,97,100,3.0,NZ,1712874652
316,hotan,37.0997,79.9269,61.3,19,17,7.18,CN,1712874867
317,nyurba,63.2842,118.3319,-5.69,96,44,4.52,RU,1712874797
318,villamontes,-21.25,-63.5,61.05,83,100,4.43,BO,1712874868
319,qamdo,31.1667,97.2333,27.34,59,28,4.21,CN,1712874869
320,crane,31.3974,-102.3501,79.7,13,0,12.95,US,1712874870
321,lazaro cardenas,17.9583,-102.2,81.14,63,0,8.25,MX,1712874802
322,at taj,24.2049,23.2857,69.55,20,100,8.95,LY,1712874871
323,kavaratti,10.5669,72.642,84.2,67,1,2.89,IN,1712874872
